SLC,month,Tavg,PREC,PET
1001009,1,-8.47763148137817,49.7130466285412,0.00129291600890194
1001009,2,-2.79594169976944,27.193870977295,0.0513275406580077
1001009,3,0.812861110008793,18.7345161108988,8.60124218096073
1001009,4,6.28886781229066,13.6344444606467,52.171188566437
1001009,5,11.4838543179889,15.7803942595465,104.572234563532
1001009,6,15.4858275840413,24.1277419203979,125.394948246184
1001009,7,18.6767796236203,16.7030465797418,148.927639842536
1001009,8,17.9166512238538,23.1398566099131,123.452134371647
1001009,9,13.4388773975016,22.5474551888216,70.732451172944
1001009,10,7.08115617352135,26.95935486207,14.4334427311046
1001009,11,-0.530197319928866,36.9703583839386,0.0289543886229265
1001009,12,-4.89277777899195,44.5914336856602,0
1001010,1,-10.9330307687602,41.6622084321607,0
1001010,2,-5.40379772214582,23.1344913145523,0.0225027168669825
1001010,3,-2.60077820542531,18.4541439098068,4.86050836170981
1001010,4,2.77284659510371,13.8628536098158,36.5892199316951
1001010,5,8.04782478801715,19.3136476516335,86.6863788796998
1001010,6,12.1108200796034,29.614962761325,109.809608101705
1001010,7,15.3059209378968,21.7335483985248,131.652200315781
1001010,8,14.6193905990755,27.5905210767912,107.543471777114
1001010,9,10.4241056570956,23.1714144070949,58.871483255641
1001010,10,4.34302478422212,22.0150868447484,11.1550229753612
1001010,11,-3.42412245605078,29.8511414493136,0.0159007620650221
1001010,12,-7.63331325096452,36.2054590502195,0
1001016,1,-9.05122778100627,54.8031796921508,0.00305113999940693
1001016,2,-3.81086331586989,31.237926233783,0.0552191613813586
1001016,3,-1.10638332933661,23.3628110540902,6.55261485665917
1001016,4,4.00562315537229,16.2291705148286,40.4928737630485
1001016,5,9.11038095469513,19.6250230205773,89.9214100513599
1001016,6,13.1431510585478,25.750230419883,112.28892806264
1001016,7,16.4932666556797,18.7280184328299,136.269033208306
1001016,8,15.8311984097012,25.6491244544151,112.411718092437
1001016,9,11.6865771794848,24.8671428653055,63.556768905
1001016,10,5.58872063797145,27.7701382706036,13.4428121034189
1001016,11,-1.93490722369286,41.3042396411111,0.0202024915363469
1001016,12,-5.95387380665257,50.7895391559409,0
1002016,1,-10.2884423657838,61.1129435482585,0
1002016,2,-5.14001697277029,36.49770161149,0.0252766674676985
1002016,3,-2.67506597293748,29.6297177481315,3.95032653690209
1002016,4,2.42615660795535,18.8656854780631,32.4005427882125
1002016,5,7.62842499519388,19.5170564758892,82.3972362645354
1002016,6,11.5956867807042,29.1548790422629,105.097859985085
1002016,7,14.8512875042525,20.7031451628033,127.171350738965
1002016,8,14.2157576445407,27.9816935411504,102.696097163918
1002016,9,10.2403204019042,27.7482258183882,55.458617053767
1002016,10,4.31859235995346,36.4283467553886,9.98127932505954
1002016,11,-3.19310991326454,48.9776209672883,0.00698370888869944
1002016,12,-7.17100139009042,57.257016113088,0
1002020,1,-8.92989444024033,62.17774219835,0
1002020,2,-3.67116666266948,35.9477419079311,0.032426131280702
1002020,3,-0.870905568202337,26.955483793251,5.89769537357791
1002020,4,4.25479885997443,17.9441935821406,40.5711619720607
1002020,5,9.37752779073185,19.1083871361709,91.4351931031271
1002020,6,13.3495632407309,25.91999987633,113.203266931454
1002020,7,16.656405561765,18.4541936031272,137.096517448758
1002020,8,16.0008777544234,26.2841935422151,112.645811545777
1002020,9,11.8970114917591,27.2396774031222,63.3915244841966
1002020,10,5.79105554878712,34.5367741964517,12.6333646602912
1002020,11,-1.71286205937122,48.2816128019364,0.00428088723393631
1002020,12,-5.77398333628972,58.0764517188072,0
1004001,1,-12.01775417059,48.4427419358204,0.00125422674417989
1004001,2,-6.10581450652929,30.1377419481114,0.0136790683653583
1004001,3,-3.30404944901665,24.5881935330679,4.10626057508203
1004001,4,2.2906399414971,19.3699193479674,34.3689168136427
1004001,5,7.77647722585334,31.4873386944314,84.82782284292
1004001,6,11.8913819011258,49.2133064381177,108.579369339824
1004001,7,14.858688053449,38.7557419263788,127.613919564831
1004001,8,14.119079726643,43.7165000096745,102.596137229129
1004001,9,9.6237459757239,37.5306935341909,50.8776444780555
1004001,10,3.56825111098091,33.8934032491438,6.58470710911815
1004001,11,-4.0738316121432,37.7253225735839,0.00218754776003468
1004001,12,-8.30870472143425,46.836306462521,0
1004005,1,-10.9708658738127,53.404654391419,0
1004005,2,-4.99031481777549,32.710368644532,0.00810618920144434
1004005,3,-1.69667143095107,25.6517511438664,5.68298008993317
1004005,4,4.06113054463625,20.942949295868,44.1347426125795
1004005,5,9.57256429234194,32.7725345625752,97.43795466617
1004005,6,13.6935697909059,50.1075115718016,119.82178126232
1004005,7,16.5829499919831,39.617142873975,140.102094126869
1004005,8,15.7964555507993,45.1411060445388,114.207059018532
1004005,9,11.0481715827544,40.599170510567,57.8989782743461
1004005,10,4.73033333684717,38.8080184470673,7.06159620268264
1004005,11,-2.75066584459764,43.0217511610639,0.00459151802979583
1004005,12,-7.09990238964558,53.710829487182,0
1004013,1,-8.00562408076392,59.607741892498,0
1004013,2,-2.92708024136078,36.6489247904029,0.00115965758063164
1004013,3,0.734379631921097,27.6281720258856,7.46658421654457
1004013,4,6.64182949833486,22.9340860709067,56.3984690698477
1004013,5,12.0378388893163,34.8853763840211,109.363680748249
1004013,6,16.1725632159646,45.0836558980086,130.507241870417
1004013,7,19.1600351736281,34.3179570242602,153.705025614301
1004013,8,18.3349759310263,40.9378494535403,128.600822189296
1004013,9,13.314917639937,40.0822581621588,67.8818821381183
1004013,10,6.72139259053601,41.0679569798772,9.63243573841963
1004013,11,-0.229862066932108,49.0224730003905,0.000380412222359386
1004013,12,-4.39769259130513,62.9596773900332,0
1004014,1,-7.83956944612993,54.168790336458,0
1004014,2,-2.83037191824413,32.8508871151435,0.00589526777317075
1004014,3,0.839211106432809,24.7647580587335,8.02668311906247
1004014,4,6.73207901748775,20.8704032398039,57.4587270993718
1004014,5,12.067824999094,32.5173387090645,109.478236688333
1004014,6,16.2025431008175,41.3191129484124,130.835028469473
1004014,7,19.2100625043445,32.0179839542797,154.315358156194
