ID,Year,Province,Soil Type,Group,Crop ID,Crop,Species/variant,Original Unit,Yield (Kg/Ha),Crop Price ($/Kg),Seed ($/Ha),Fertilizer ($/Ha),Chemical ($/Ha),Trucking and Marketing ($/Ha),Fuel Oil Lube ($/Ha),Machinery Repairs ($/Ha),Crop Insurance ($/Ha),Building Repairs ($/Ha),Custom Work ($/Ha),Labour ($/Ha),Utilities ($/Ha),Operating Interest ($/Ha),Fixed Cost ($/Ha),Variable Cost ($/Ha),Total Costs ($/Ha),Source,Assumptions of: Yield (Kg/Ha),Assumptions of: Crop Price ($/Kg),Assumptions of: Seed ($/Ha),Assumptions of: Fertilizer ($/Ha),Assumptions of: Chemical ($/Ha),Assumptions of: Trucking and Marketing ($/Ha),Assumptions of: Fuel Oil Lube ($/Ha),Assumptions of: Machinery Repairs ($/Ha),Assumptions of: Crop Insurance ($/Ha),Assumptions of: Building Repairs ($/Ha),Assumptions of: Custom Work ($/Ha),Assumptions of: Labour ($/Ha),Assumptions of: Utilities ($/Ha),Assumptions of: Operating Interest ($/Ha),Assumptions of: Fixed Cost ($/Ha),Assumptions of: Variable Cost ($/Ha),Assumptions of:Total Costs ($/Ha)
1,2021,Saskatchewan,Black,Small-grain cereals,3,Wheat,Spring,bu,1858.81865,0.221932355,81.66832858,185.2054834,267.3927333,,47.56778594,28.39240833,9.562978264,2.174527357,56.95779043,,12.05874262,13.54137491,295.4639046,702.3476258,997.8115305,S.COP.21,,,,,,,,,,,,,,,,,
2,2021,Saskatchewan,Brown,Small-grain cereals,3,Wheat,Spring,bu,1439.69995,0.221932355,65.03813641,142.7280683,266.1572064,,30.443383,22.23948433,11.02090001,1.210816369,55.10450007,,7.981503822,11.81163724,235.5902707,612.5248196,848.1150904,S.COP.21,,,,,,,,,,,,,,,,,
3,2021,Saskatchewan,Dark Brown,Small-grain cereals,3,Wheat,Spring,bu,1671.0317,0.221932355,71.8335344,166.3266323,266.1572064,,38.05422875,25.08119622,10.32900495,1.60618498,54.48673662,,10.45255764,12.65179553,270.6545243,655.3728928,926.0274171,S.COP.21,,,,,,,,,,,,,,,,,
4,2021,Saskatchewan,Brown,Small-grain cereals,4,Durum Wheat,,bu,1469.637,0.275578255,90.02049048,146.2616753,154.2184686,,30.443383,22.23948433,15.07342827,1.210816369,55.10450007,,7.981503822,10.25487333,235.5902707,531.5978072,767.1880779,S.COP.21,,,,,,,,,,,,,,,,,
5,2021,Saskatchewan,Dark Brown,Small-grain cereals,4,Durum Wheat,,bu,1679.19635,0.275578255,99.45991605,167.4880276,154.2184686,,38.05422875,25.08119622,19.62016729,1.60618498,54.48673662,,10.45255764,11.19387378,270.6545243,580.0798831,850.7344074,S.COP.21,,,,,,,,,,,,,,,,,
6,2021,Saskatchewan,Black,Small-grain cereals,5,Barley,Feed,bu,2101.0366,0.200712829,78.62893239,173.3444251,117.9433986,,47.56778594,28.39240833,12.10816369,2.174527357,52.0156828,,12.05874262,11.19387378,295.4639046,580.4752517,875.9391563,S.COP.21,,,,,,,,,,,,,,,,,
7,2021,Saskatchewan,Black,Small-grain cereals,5,Barley,Malt,bu,1704.77892,0.238834488,103.6607075,140.3558567,261.2645199,,47.56778594,28.39240833,9.834794183,2.174527357,52.0156828,,12.05874262,12.87419038,295.4639046,668.0493989,963.5133035,S.COP.21,,,,,,,,,,,,,,,,,
8,2021,Saskatchewan,Brown,Small-grain cereals,5,Barley,Feed,bu,1700.42444,0.200712829,62.91303013,140.3558567,117.9433986,,30.443383,22.23948433,14.43095428,1.210816369,51.39791935,,7.981503822,8.796951581,235.5902707,456.5024818,692.0927525,S.COP.21,,,,,,,,,,,,,,,,,
9,2021,Saskatchewan,Brown,Small-grain cereals,5,Barley,Malt,bu,1391.25636,0.238834488,83.27451356,115.5711869,261.2645199,,30.443383,22.23948433,11.83634777,1.210816369,51.39791935,,7.981503822,11.49040024,235.5902707,595.4745483,831.064819,S.COP.21,,,,,,,,,,,,,,,,,
10,2021,Saskatchewan,Dark Brown,Small-grain cereals,5,Barley,Feed,bu,1859.36296,0.200712829,69.33777005,153.3041787,117.9433986,,38.05422875,25.08119622,12.84947984,1.60618498,52.0156828,,10.45255764,9.414715035,270.6545243,488.4779181,759.1324425,S.COP.21,,,,,,,,,,,,,,,,,
11,2021,Saskatchewan,Dark Brown,Small-grain cereals,5,Barley,Malt,bu,1521.89076,0.238834488,91.10775416,125.0106125,261.2645199,,38.05422875,25.08119622,10.52668925,1.60618498,52.0156828,,10.45255764,12.05874262,270.6545243,625.5966943,896.2512187,S.COP.21,,,,,,,,,,,,,,,,,
12,2021,Saskatchewan,Black,Small-grain cereals,7,Oats,,bu,2117.7385,0.229417844,108.182736,165.1158159,126.5920869,,47.56778594,28.39240833,17.64332424,2.174527357,52.0156828,,12.05874262,11.88576885,295.4639046,616.6761901,912.1648052,S.COP.21,,,,,,,,,,,,,,,,,
13,2021,Saskatchewan,Brown,Small-grain cereals,7,Oats,,bu,1177.1665,0.229417844,108.182736,91.99733353,126.5920869,,30.443383,22.23948433,20.58387828,1.210816369,51.39791935,,7.981503822,9.044056963,235.5902707,468.4623822,704.0526529,S.COP.21,,,,,,,,,,,,,,,,,
14,2021,Saskatchewan,Dark Brown,Small-grain cereals,7,Oats,,bu,1599.553,0.229417844,108.182736,125.035323,126.5920869,,38.05422875,25.08119622,19.47190406,1.60618498,52.0156828,,10.45255764,9.933636336,270.6545243,514.8193518,785.4738761,S.COP.21,,,,,,,,,,,,,,,,,
15,2021,Saskatchewan,Dark Brown,Small-grain cereals,10,Canary seed,,lb,2149.792531,0.617294334,44.97317943,180.2139547,158.048602,,44.77549513,25.08119622,18.16224554,1.60618498,54.48673662,,10.45255764,10.55139979,270.6545243,546.7453671,817.3998914,S.COP.21,,,,,,,,,,,,,,,,,
16,2021,Saskatchewan,Black,Small-grain cereals,12,Grain corn,,bu,2989.72124,0.190935861,237.9624824,214.6357344,189.8016435,,53.1770781,34.84185879,26.44027582,2.174527357,143.9635953,,12.05874262,17.96456123,332.257896,930.8459721,1263.128579,S.COP.21,,,,,,,,,,,,,,,,,
17,2021,Saskatchewan,Brown,Small-grain cereals,12,Grain corn,,bu,1950.81216,0.190935861,237.9624824,140.3311461,189.8016435,,34.02641103,28.68893479,15.98771818,1.210816369,121.1804791,,7.981503822,15.27111258,272.384262,791.2314315,1063.615694,S.COP.21,,,,,,,,,,,,,,,,,
18,2021,Saskatchewan,Dark Brown,Small-grain cereals,12,Grain corn,,bu,1950.81216,0.190935861,237.9624824,140.3311461,162.7436043,,42.52683615,31.53064668,18.06340339,1.60618498,112.3835275,,10.45255764,14.87574397,307.4485157,770.8946586,1078.318464,S.COP.21,,,,,,,,,,,,,,,,,
19,2021,Saskatchewan,Black,Oilseeds,20,Canola,,bu,1270.0576,0.496040495,196.572331,229.7091626,282.5897143,,50.38478729,28.39240833,21.25106281,2.174527357,52.0156828,,12.05874262,17.17382401,295.4639046,890.1477157,1185.61162,S.COP.21,,,,,,,,,,,,,,,,,
20,2021,Saskatchewan,Brown,Oilseeds,20,Canola,,bu,1089.981576,0.496040495,196.572331,197.7090157,196.3005151,,32.24725228,22.23948433,25.69895968,1.210816369,52.0156828,,7.981503822,14.3815332,235.5902707,745.1215673,980.7365486,S.COP.21,,,,,,,,,,,,,,,,,
21,2021,Saskatchewan,Dark Brown,Oilseeds,20,Canola,,bu,1179.3392,0.496040495,196.572331,213.4496285,265.8112589,,40.30288772,25.08119622,20.16379913,1.60618498,52.0156828,,10.45255764,16.21011303,270.6545243,840.0594549,1110.713979,S.COP.21,,,,,,,,,,,,,,,,,
