1,74,89,72
2,129,104,
3,Dead,,
4,87,85,
5,115,86,50
6,95,56,50
7,68,100,
8,52,71,
9,100,,
10,31,38,
11,109,,
12,76,,
13,52,,
14,74,94,
15,101,,
16,90,,
17,53,69,89
18,dead,,
19,61,97,
20,94,98,
21,129,,
22,99,,
23,47,,
24,95,,
25,93,87,98
26,69,97,
27,115,,
28,39,,
29,107,53,
30,117,,
31,dead,,
32,123,80,
33,dead,,
34,92,,
35,107,,
36,55,,
37,60,,
38,62,,
39,97,84,128
40,dead,,
41,dead,,
42,56,,
43,dead,,
44,69,,
45,65,41,
46,53,50,
47,86,,
48,84,,
49,77,65,
50,dead,,
51,83,73,
52,84,,
53,67,65,
54,dead,,
55,102,,
56,72,57,
57,40,,
